#
#
#   Lonertzian-smoothed HOLE spectral function (both aprticle and hole) as
#  function of momentum and energy
#
#      Range [Emin -:- Ef-] = -282.432  -:-  -58.0449 MeV
#
#      E_F = -50.9208 MeV
#
#
#    k              E               A(k,E)

0    -301.432       1.11261e-05
0    -300.732       1.12147e-05
0    -300.032       1.13044e-05
0    -299.332       1.13953e-05
0    -298.632       1.14873e-05
0    -297.932       1.15804e-05
0    -297.232       1.16747e-05
0    -296.532       1.17702e-05
0    -295.832       1.18669e-05
0    -295.132       1.19649e-05
0    -294.432       1.20641e-05
0    -293.732       1.21645e-05
0    -293.032       1.22663e-05
0    -292.332       1.23694e-05
0    -291.632       1.24739e-05
0    -290.932       1.25797e-05
0    -290.232       1.26869e-05
0    -289.532       1.27956e-05
0    -288.832       1.29057e-05
0    -288.132       1.30173e-05
0    -287.432       1.31303e-05
0    -286.732       1.32449e-05
0    -286.032       1.33611e-05
0    -285.332       1.34789e-05
0    -284.632       1.35982e-05
0    -283.932       1.37192e-05
0    -283.232       1.3842e-05
0    -282.532       1.39664e-05
0    -281.832       1.40925e-05
0    -281.132       1.42205e-05
0    -280.432       1.43502e-05
0    -279.732       1.44819e-05
0    -279.032       1.46153e-05
0    -278.332       1.47508e-05
0    -277.632       1.48882e-05
0    -276.932       1.50276e-05
0    -276.232       1.5169e-05
0    -275.532       1.53125e-05
0    -274.832       1.54582e-05
0    -274.132       1.5606e-05
0    -273.432       1.5756e-05
0    -272.732       1.59083e-05
0    -272.032       1.60629e-05
0    -271.332       1.62199e-05
0    -270.632       1.63793e-05
0    -269.932       1.65411e-05
0    -269.232       1.67055e-05
0    -268.532       1.68724e-05
0    -267.832       1.70419e-05
0    -267.132       1.72142e-05
0    -266.432       1.73891e-05
0    -265.732       1.75669e-05
0    -265.032       1.77475e-05
0    -264.332       1.79311e-05
0    -263.632       1.81176e-05
0    -262.932       1.83073e-05
0    -262.232       1.85e-05
0    -261.532       1.8696e-05
0    -260.832       1.88952e-05
0    -260.132       1.90978e-05
0    -259.432       1.93038e-05
0    -258.732       1.95134e-05
0    -258.032       1.97265e-05
0    -257.332       1.99433e-05
0    -256.632       2.01639e-05
0    -255.932       2.03884e-05
0    -255.232       2.06169e-05
0    -254.532       2.08494e-05
0    -253.832       2.1086e-05
0    -253.132       2.1327e-05
0    -252.432       2.15723e-05
0    -251.732       2.18221e-05
0    -251.032       2.20765e-05
0    -250.332       2.23357e-05
0    -249.632       2.25997e-05
0    -248.932       2.28686e-05
0    -248.232       2.31427e-05
0    -247.532       2.3422e-05
0    -246.832       2.37067e-05
0    -246.132       2.39969e-05
0    -245.432       2.42929e-05
0    -244.732       2.45946e-05
0    -244.032       2.49024e-05
0    -243.332       2.52163e-05
0    -242.632       2.55366e-05
0    -241.932       2.58634e-05
0    -241.232       2.6197e-05
0    -240.532       2.65375e-05
0    -239.832       2.6885e-05
0    -239.132       2.724e-05
0    -238.432       2.76024e-05
0    -237.732       2.79727e-05
0    -237.032       2.8351e-05
0    -236.332       2.87375e-05
0    -235.632       2.91325e-05
0    -234.932       2.95364e-05
0    -234.232       2.99493e-05
0    -233.532       3.03716e-05
0    -232.832       3.08036e-05
0    -232.132       3.12455e-05
0    -231.432       3.16977e-05
0    -230.732       3.21606e-05
0    -230.032       3.26346e-05
0    -229.332       3.31199e-05
0    -228.632       3.3617e-05
0    -227.932       3.41263e-05
0    -227.232       3.46482e-05
0    -226.532       3.51832e-05
0    -225.832       3.57318e-05
0    -225.132       3.62944e-05
0    -224.432       3.68716e-05
0    -223.732       3.74639e-05
0    -223.032       3.80719e-05
0    -222.332       3.86962e-05
0    -221.632       3.93374e-05
0    -220.932       3.99962e-05
0    -220.232       4.06733e-05
0    -219.532       4.13694e-05
0    -218.832       4.20853e-05
0    -218.132       4.28219e-05
0    -217.432       4.358e-05
0    -216.732       4.43605e-05
0    -216.032       4.51643e-05
0    -215.332       4.59926e-05
0    -214.632       4.68465e-05
0    -213.932       4.77269e-05
0    -213.232       4.86353e-05
0    -212.532       4.95729e-05
0    -211.832       5.0541e-05
0    -211.132       5.15412e-05
0    -210.432       5.25751e-05
0    -209.732       5.36442e-05
0    -209.032       5.47504e-05
0    -208.332       5.58957e-05
0    -207.632       5.7082e-05
0    -206.932       5.83116e-05
0    -206.232       5.95868e-05
0    -205.532       6.09102e-05
0    -204.832       6.22845e-05
0    -204.132       6.37127e-05
0    -203.432       6.51979e-05
0    -202.732       6.67436e-05
0    -202.032       6.83535e-05
0    -201.332       7.00317e-05
0    -200.632       7.17826e-05
0    -199.932       7.36109e-05
0    -199.232       7.5522e-05
0    -198.532       7.75215e-05
0    -197.832       7.96158e-05
0    -197.132       8.18118e-05
0    -196.432       8.41171e-05
0    -195.732       8.65401e-05
0    -195.032       8.90902e-05
0    -194.332       9.17777e-05
0    -193.632       9.46143e-05
0    -192.932       9.76129e-05
0    -192.232       0.000100788
0    -191.532       0.000104156
0    -190.832       0.000107735
0    -190.132       0.000111547
0    -189.432       0.000115616
0    -188.732       0.000119968
0    -188.032       0.000124637
0    -187.332       0.000129658
0    -186.632       0.000135074
0    -185.932       0.000140937
0    -185.232       0.000147304
0    -184.532       0.000154248
0    -183.832       0.000161852
0    -183.132       0.00017022
0    -182.432       0.000179477
0    -181.732       0.000189776
0    -181.032       0.000201313
0    -180.332       0.000214329
0    -179.632       0.000229138
0    -178.932       0.000246145
0    -178.232       0.000265886
0    -177.532       0.000289086
0    -176.832       0.000316738
0    -176.132       0.000350244
0    -175.432       0.000391633
0    -174.732       0.000443935
0    -174.032       0.000511845
0    -173.332       0.000602942
0    -172.632       0.000730096
0    -171.932       0.000916459
0    -171.232       0.00120662
0    -170.532       0.00169313
0    -169.832       0.00258076
0    -169.132       0.00430298
0    -168.432       0.00719345
0    -167.732       0.00849867
0    -167.032       0.00591384
0    -166.332       0.00359831
0    -165.632       0.00243651
0    -164.932       0.00191749
0    -164.232       0.00175523
0    -163.532       0.00187272
0    -162.832       0.00234912
0    -162.132       0.00341137
0    -161.432       0.00478601
0    -160.732       0.0044266
0    -160.032       0.00305266
0    -159.332       0.00225533
0    -158.632       0.00194592
0    -157.932       0.0019182
0    -157.232       0.00210044
0    -156.532       0.00251626
0    -155.832       0.00329104
0    -155.132       0.00473762
0    -154.432       0.00756118
0    -153.732       0.0127241
0    -153.032       0.0171003
0    -152.332       0.0135099
0    -151.632       0.00872712
0    -150.932       0.00655144
0    -150.232       0.00638667
0    -149.532       0.00802724
0    -148.832       0.0103745
0    -148.132       0.00913497
0    -147.432       0.0063381
0    -146.732       0.00487052
0    -146.032       0.00449971
0    -145.332       0.00495362
0    -144.632       0.00636334
0    -143.932       0.00918743
0    -143.232       0.0142748
0    -142.532       0.0186277
0    -141.832       0.0150756
0    -141.132       0.0105445
0    -140.432       0.00888643
0    -139.732       0.00965624
0    -139.032       0.0131949
0    -138.332       0.0209783
0    -137.632       0.0299696
0    -136.932       0.0260147
0    -136.232       0.0170094
0    -135.532       0.0126612
0    -134.832       0.0114333
0    -134.132       0.0117297
0    -133.432       0.0139408
0    -132.732       0.0129795
0    -132.032       0.00847068
0    -131.332       0.00535663
0    -130.632       0.00369287
0    -129.932       0.00276586
0    -129.232       0.00220734
0    -128.532       0.00184861
0    -127.832       0.00160802
0    -127.132       0.00144311
0    -126.432       0.0013305
0    -125.732       0.00125702
0    -125.032       0.00121585
0    -124.332       0.00120511
0    -123.632       0.00122887
0    -122.932       0.0013015
0    -122.232       0.00145339
0    -121.532       0.00167617
0    -120.832       0.00173549
0    -120.132       0.00164886
0    -119.432       0.00164893
0    -118.732       0.00174597
0    -118.032       0.00192143
0    -117.332       0.00217725
0    -116.632       0.00253271
0    -115.932       0.00302569
0    -115.232       0.00372178
0    -114.532       0.00473543
0    -113.832       0.00627564
0    -113.132       0.00874903
0    -112.432       0.0130064
0    -111.732       0.0209385
0    -111.032       0.0365018
0    -110.332       0.0620638
0    -109.632       0.0710522
0    -108.932       0.0469859
0    -108.232       0.0265769
0    -107.532       0.0158941
0    -106.832       0.0103352
0    -106.132       0.00721791
0    -105.432       0.00533621
0    -104.732       0.00413303
0    -104.032       0.00333476
0    -103.332       0.00280364
0    -102.632       0.00248023
0    -101.932       0.00236006
0    -101.232       0.00237415
0    -100.532       0.00215206
0    -99.832       0.00180497
0    -99.132       0.00163658
0    -98.432       0.00161637
0    -97.732       0.00148725
0    -97.032       0.00124298
0    -96.332       0.00107025
0    -95.632       0.000958901
0    -94.932       0.000885687
0    -94.232       0.000837159
0    -93.532       0.000804932
0    -92.832       0.000784675
0    -92.132       0.000774204
0    -91.432       0.000772494
0    -90.732       0.000779251
0    -90.032       0.000794762
0    -89.332       0.000819893
0    -88.632       0.000856205
0    -87.932       0.000906238
0    -87.232       0.000974032
0    -86.532       0.00106613
0    -85.832       0.00119357
0    -85.132       0.00137598
0    -84.432       0.0016508
0    -83.732       0.00209528
0    -83.032       0.00287927
0    -82.332       0.00435504
0    -81.632       0.00671983
0    -80.932       0.00760654
0    -80.232       0.00567411
0    -79.532       0.00415116
0    -78.832       0.003545
0    -78.712       0.00350303
0    -78.592       0.00347493
0    -78.472       0.00345959
0    -78.352       0.00345603
0    -78.232       0.0034635
0    -78.112       0.00348135
0    -77.992       0.00350909
0    -77.872       0.00354635
0    -77.752       0.00359286
0    -77.632       0.00364846
0    -77.512       0.00371308
0    -77.392       0.00378672
0    -77.272       0.00386949
0    -77.152       0.00396156
0    -77.032       0.00406319
0    -76.912       0.00417472
0    -76.792       0.00429657
0    -76.672       0.00442924
0    -76.552       0.00457332
0    -76.432       0.0047295
0    -76.312       0.00489857
0    -76.192       0.00508144
0    -76.072       0.00527913
0    -75.952       0.0054928
0    -75.832       0.00572378
0    -75.712       0.00597353
0    -75.592       0.00624374
0    -75.472       0.00653631
0    -75.352       0.00685337
0    -75.232       0.00719733
0    -75.112       0.00757095
0    -74.992       0.00797732
0    -74.872       0.00841998
0    -74.752       0.00890294
0    -74.632       0.00943078
0    -74.512       0.0100087
0    -74.392       0.0106428
0    -74.272       0.0113398
0    -74.152       0.0121076
0    -74.032       0.0129554
0    -73.912       0.0138934
0    -73.792       0.0149339
0    -73.672       0.0160905
0    -73.552       0.0173792
0    -73.432       0.0188185
0    -73.312       0.0204293
0    -73.192       0.0222357
0    -73.072       0.0242647
0    -72.952       0.0265467
0    -72.832       0.0291149
0    -72.712       0.0320046
0    -72.592       0.0352516
0    -72.472       0.0388893
0    -72.352       0.0429439
0    -72.232       0.0474267
0    -72.112       0.0523235
0    -71.992       0.0575803
0    -71.872       0.0630858
0    -71.752       0.0686551
0    -71.632       0.0740196
0    -71.512       0.0788336
0    -71.392       0.0827069
0    -71.272       0.0852661
0    -71.152       0.0862337
0    -71.032       0.0854979
0    -70.912       0.0831435
0    -70.792       0.0794284
0    -70.672       0.0747172
0    -70.552       0.0694023
0    -70.432       0.0638382
0    -70.312       0.0583052
0    -70.192       0.0529996
0    -70.072       0.0480422
0    -69.952       0.0434939
0    -69.832       0.0393736
0    -69.712       0.0356728
0    -69.592       0.0323669
0    -69.472       0.029423
0    -69.352       0.0268057
0    -69.232       0.0244792
0    -69.112       0.0224101
0    -68.992       0.0205676
0    -68.872       0.0189241
0    -68.752       0.0174551
0    -68.632       0.0161393
0    -68.512       0.0149578
0    -68.392       0.0138945
0    -68.272       0.012935
0    -68.152       0.0120673
0    -68.032       0.0112805
0    -67.912       0.0105655
0    -67.792       0.00991411
0    -67.672       0.00931942
0    -67.552       0.00877527
0    -67.432       0.00827629
0    -67.312       0.00781779
0    -67.192       0.00739565
0    -67.072       0.00700623
0    -66.952       0.00664633
0    -66.832       0.00631311
0    -66.712       0.00600406
0    -66.592       0.00571695
0    -66.472       0.0054498
0    -66.352       0.00520084
0    -66.232       0.00496847
0    -66.112       0.00475129
0    -65.992       0.00454802
0    -65.872       0.00435751
0    -65.752       0.00417874
0    -65.632       0.00401077
0    -65.512       0.00385276
0    -65.392       0.00370394
0    -65.272       0.00356363
0    -65.152       0.0034312
0    -65.032       0.00330607
0    -64.912       0.00318772
0    -64.792       0.00307567
0    -64.672       0.00296949
0    -64.552       0.00286877
0    -64.432       0.00277316
0    -64.312       0.00268232
0    -64.192       0.00259592
0    -64.072       0.0025137
0    -63.952       0.00243539
0    -63.832       0.00236074
0    -63.712       0.00228953
0    -63.592       0.00222155
0    -63.472       0.00215661
0    -63.352       0.00209454
0    -63.232       0.00203516
0    -63.112       0.00197833
0    -62.992       0.0019239
0    -62.872       0.00187173
0    -62.752       0.00182171
0    -62.632       0.00177372
0    -62.512       0.00172765
0    -62.392       0.00168339
0    -62.272       0.00164086
0    -62.152       0.00159996
0    -62.032       0.00156062
0    -61.912       0.00152275
0    -61.792       0.00148628
0    -61.672       0.00145115
0    -61.552       0.00141729
0    -61.432       0.00138463
0    -61.312       0.00135313
0    -61.192       0.00132272
0    -61.072       0.00129337
0    -60.952       0.00126501
0    -60.832       0.0012376
0    -60.712       0.00121111
0    -60.592       0.00118549
0    -60.472       0.00116071
0    -60.352       0.00113672
0    -60.232       0.00111349
0    -60.112       0.001091
0    -59.992       0.00106921
0    -59.872       0.00104809
0    -59.752       0.00102762
0    -59.632       0.00100776
0    -59.512       0.000988496
0    -59.392       0.000969803
0    -59.272       0.000951658
0    -59.152       0.000934038
0    -59.032       0.000916925
0    -58.912       0.000900298
0    -58.792       0.00088414
0    -58.672       0.000868432
0    -58.552       0.000853158
0    -58.432       0.000838302
0    -58.312       0.000823849
0    -58.192       0.000809784
0    -58.072       0.000796093
0    -57.952       0.000782763
0    -57.832       0.000769781
0    -57.712       0.000757135
0    -57.592       0.000744814
0    -57.472       0.000732806
0    -57.352       0.000721101
0    -57.232       0.000709688
0    -57.112       0.000698559
0    -56.992       0.000687702
0    -56.872       0.00067711
0    -56.752       0.000666774
0    -56.632       0.000656685
0    -56.512       0.000646836
0    -56.392       0.000637219
0    -56.272       0.000627827
0    -56.152       0.000618652
0    -56.032       0.000609688
0    -55.912       0.000600929
0    -55.792       0.000592367
0    -55.672       0.000583998
0    -55.552       0.000575815
0    -55.432       0.000567813
0    -55.312       0.000559987
0    -55.192       0.00055233
0    -55.072       0.000544839
0    -54.952       0.000537508
0    -54.832       0.000530334
0    -54.712       0.00052331
0    -54.592       0.000516434
0    -54.472       0.000509701
0    -54.352       0.000503107
0    -54.232       0.000496648
0    -54.112       0.00049032
0    -53.992       0.000484121
0    -53.872       0.000478045
0    -53.752       0.000472091
0    -53.632       0.000466254
0    -53.512       0.000460532
0    -53.392       0.000454921
0    -53.272       0.00044942
0    -53.152       0.000444024
0    -53.032       0.000438731
0    -52.912       0.000433538
0    -52.792       0.000428444
0    -52.672       0.000423444
0    -52.552       0.000418538
0    -52.432       0.000413722
0    -52.312       0.000408995
0    -52.192       0.000404354
0    -52.072       0.000399797


0.805283    -301.432       8.57468e-06
0.805283    -300.732       8.63411e-06
0.805283    -300.032       8.69417e-06
0.805283    -299.332       8.75489e-06
0.805283    -298.632       8.81628e-06
0.805283    -297.932       8.87833e-06
0.805283    -297.232       8.94106e-06
0.805283    -296.532       9.00449e-06
0.805283    -295.832       9.06862e-06
0.805283    -295.132       9.13347e-06
0.805283    -294.432       9.19903e-06
0.805283    -293.732       9.26534e-06
0.805283    -293.032       9.33239e-06
0.805283    -292.332       9.40021e-06
0.805283    -291.632       9.4688e-06
0.805283    -290.932       9.53817e-06
0.805283    -290.232       9.60834e-06
0.805283    -289.532       9.67932e-06
0.805283    -288.832       9.75112e-06
0.805283    -288.132       9.82376e-06
0.805283    -287.432       9.89725e-06
0.805283    -286.732       9.97161e-06
0.805283    -286.032       1.00469e-05
0.805283    -285.332       1.0123e-05
0.805283    -284.632       1.02e-05
0.805283    -283.932       1.0278e-05
0.805283    -283.232       1.03569e-05
0.805283    -282.532       1.04368e-05
0.805283    -281.832       1.05176e-05
0.805283    -281.132       1.05995e-05
0.805283    -280.432       1.06823e-05
0.805283    -279.732       1.07662e-05
0.805283    -279.032       1.08511e-05
0.805283    -278.332       1.09371e-05
0.805283    -277.632       1.10242e-05
0.805283    -276.932       1.11123e-05
0.805283    -276.232       1.12016e-05
0.805283    -275.532       1.12921e-05
0.805283    -274.832       1.13837e-05
0.805283    -274.132       1.14765e-05
0.805283    -273.432       1.15705e-05
0.805283    -272.732       1.16658e-05
0.805283    -272.032       1.17623e-05
0.805283    -271.332       1.18601e-05
0.805283    -270.632       1.19592e-05
0.805283    -269.932       1.20597e-05
0.805283    -269.232       1.21615e-05
0.805283    -268.532       1.22647e-05
0.805283    -267.832       1.23693e-05
0.805283    -267.132       1.24754e-05
0.805283    -266.432       1.2583e-05
0.805283    -265.732       1.2692e-05
0.805283    -265.032       1.28027e-05
0.805283    -264.332       1.29149e-05
0.805283    -263.632       1.30287e-05
0.805283    -262.932       1.31442e-05
0.805283    -262.232       1.32613e-05
0.805283    -261.532       1.33802e-05
0.805283    -260.832       1.35009e-05
0.805283    -260.132       1.36233e-05
0.805283    -259.432       1.37477e-05
0.805283    -258.732       1.38739e-05
